ID,Source X,Source Y,Dest.X,Dest.Y,dX (pixels),dY (pixels),Residual (pixels)
0,1435.4219,-1485.0364,1987205.77,783333.48,2.062633,0.611016,2.151231
1,1314.8319,-1164.6623,1986352.56,784128.42,-5.550545,-2.004483,5.901398
2,962.85481,-512.071698,1984336.35,785601.84,-9.652197,-2.971992,10.099388
3,515.367895,-879.674227,1983587.33,783875.94,7.400056,2.209756,7.722943
4,1290.9388,-953.033055,1985982.44,784731.73,-3.370133,-0.476494,3.403651
5,1532.7209,-544.801315,1986132.44,786297.75,9.110186,2.632197,9.482824
